2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\atlatl-man.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting atlatl-man.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\beefjerking-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\beefjerking-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\beefjerking.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting beefjerking.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bola-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bola-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bola.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bola.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bunts-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bunts-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\bunts.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting bunts.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\croppedspearpoints-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting croppedspearpoints-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\croppedspearpoints-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting croppedspearpoints-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\cropppedspearpoints.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting cropppedspearpoints.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\drdwatlatl.gif --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting drdwatlatl.gif
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\fishhook-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\fishhook-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\fishhook.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting fishhook.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\lubbock-m23-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23-lg.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\lubbock-m23-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23-sm.jpg
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\lubbock-m23.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting lubbock-m23.html
2007.05.02 16:09 B V:\TBH Website Temp\kids\images\hunting\mankilledbison-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting mankilledbison-lg.jpg
